compound,target
Resveratrol,ABCG2
Resveratrol,PTK2
Resveratrol,SOD1
Resveratrol,SERPINF1
Resveratrol,PRKDC
Resveratrol,MIR136
Resveratrol,CYCS
Resveratrol,MAP1LC3B
Resveratrol,GCLC
Resveratrol,ATG5
Resveratrol,NR1H3
Resveratrol,DLC1
Resveratrol,PECAM1
Resveratrol,BAX
Resveratrol,MAPK1
Resveratrol,YTHDF3
Resveratrol,PCK2
Resveratrol,ALKBH5
Resveratrol,SMAD3
Resveratrol,MTOR
Resveratrol,CDK9
Resveratrol,MUC2
Resveratrol,MIR146A
Resveratrol,TREM2
Resveratrol,TFAM
Resveratrol,MYB
Resveratrol,TNF
Resveratrol,FGF1
Resveratrol,SLC2A1
Resveratrol,MMP1
Resveratrol,RUNX2
Resveratrol,CXCL8
Resveratrol,IFNB1
Resveratrol,AHR
Resveratrol,EIF4EBP1
Resveratrol,CDKN2A
Resveratrol,MTA1
Resveratrol,ACOX1
Resveratrol,CASP1
Resveratrol,CDX2
Resveratrol,FOXO1
Resveratrol,VEGFB
Resveratrol,TLR4
Resveratrol,NGFR
Resveratrol,MAPK3
Resveratrol,GABPA
Resveratrol,MDM2
Resveratrol,APP
Resveratrol,PTGS2
Resveratrol,INS
Resveratrol,AMY1A
Resveratrol,SIGIRR
Resveratrol,CYP21A2
Resveratrol,RPS6KB1
Resveratrol,CASP8
Resveratrol,LYZ
Resveratrol,MMP9
Resveratrol,ARC
Resveratrol,CCL2
Resveratrol,RICTOR
Resveratrol,TH
Resveratrol,TFEB
Resveratrol,PPARA
Resveratrol,IL18
Resveratrol,SYK
Resveratrol,SLC2A6
Resveratrol,GPX1
Resveratrol,CD163
Resveratrol,GSS
Resveratrol,MBTPS1
Resveratrol,ALB
Resveratrol,YTHDF2
Resveratrol,FPR1
Resveratrol,LEF1
Resveratrol,RPTOR
Resveratrol,MUC5AC
Resveratrol,IL6
Resveratrol,TNNT1
Resveratrol,DEFA5
Resveratrol,KCNN1
Resveratrol,G6PC3
Resveratrol,FOXO4
Resveratrol,NR1I2
Resveratrol,MIR34A
Resveratrol,MKI67
Resveratrol,CISD2
Resveratrol,PARP1
Physcion,ACHE
Physcion,ALDH1A1
Physcion,ALOX15
Physcion,AR
Physcion,BAX
Physcion,CA2
Physcion,CCNA2
Physcion,CDK2
Physcion,CHEK1
Physcion,MAPK14
Physcion,CTSG
Physcion,DPEP1
Physcion,DPP4
Physcion,ELANE
Physcion,EPHX2
Physcion,ESR1
Physcion,ESR2
Physcion,F7
Physcion,GLA
Physcion,GSK3B
Physcion,HPGD
Physcion,LCK
Physcion,MAPT
Physcion,NOS2
Physcion,PGD
Physcion,PIM1
Physcion,PPARG
Physcion,PKIA
Physcion,PRSS1
Physcion,PTGS1
Physcion,PTGS2
Physcion,RXRA
Physcion,SCN5A
Physcion,THRB
Physcion,USP1
Physcion,VDR
Physcion,NCOA1
Physcion,NCOA2
Physcion,SLCO1B1
Physcion,SLCO1B3
Physcion,POLK
Physcion,P2RY12
Physcion,KDM4E
